200,English,Русский,French,Danish,Indonesian,Korean,Swedish,Tuskish,Ukranian,Vietnamese,Hungarian,German,Finnish,Czech,Italian,Norwegian,Chinese Trad,Chinese Simplified,Thai,Japanese,Romanian ,Arabic,Slovak,Spanish,Polish,Dutch,Portugese,hebrew
US_Missouri_East,Missouri — East,Миссури — Восток,Missouri — Est,Missouri — Øst,Missouri — Timur,미주리 주 — 동,Missouri — Öst,Missouri — Doğu,Міссурі — Схід,Missouri — Đông,Missouri — Kelet,Missouri — Osten,Missouri — Itä,Missouri — Východ,Missouri — Est,Missouri — Øst,密蘇裏州 - 東部,密苏里州 - 东部,รัฐมิสซูรี — ตะวันออก,ミズーリ州・東武,Missouri — Est,ميزوري — شرق,Missouri — Východ,Misuri — Este,Missouri — Wschód,Missouri — Oost,Missouri — Leste,מיזורי — מִזְרָח
US_Missouri_West,Missouri — West,Миссури — Запад,Missouri — Ouest,Missouri — Vest,Missouri — Barat,미주리 주 — 서,Missouri — Väst,Missouri — Batı,Міссурі — Захід,Missouri — Tây,Missouri — Nyugat,Missouri — Westen,Missouri — Länsi,Missouri — Západ,Missouri — Ovest,Missouri — Vest,密蘇裏州 - 西部,密苏里州 - 西部,รัฐมิสซูรี — ตะวันตก,ミズーリ州・西部,Missouri — Vest,ميزوري — غرب,Missouri — Západ,Misuri — Oeste,Missouri — Zachód,Missouri — West,Missouri — Oeste,מיזורי — מַעֲרָב
US_Montana,Montana,Монтана,Montana,Montana,Montana,몬태나 주,Montana,Montana,Монтана,Montana,Montana,Montana,Montana,Montana,Montana,Montana,蒙大拿州,蒙大拿州,รัฐมอนแทนา,モンタナ州,Montana,مونتانا,Montana,Montana,Montana,Montana,Montana,מונטנה
US_Nebraska,Nebraska,Небраска,Nebraska,Nebraska,Nebraska,네브래스카 주,Nebraska,Nebraska,Небраска,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,內布拉斯加州,内布拉斯加州,รัฐเนแบรสกา,ネブラスカ州,Nebraska,نبراسكا,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,נברסקה
US_Nevada,Nevada,Невада,Nevada,Nevada,Nevada,네바다 주,Nevada,Nevada,Невада,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,內華達州,内华达州,รัฐเนวาดา,ネバダ州,Nevada,نيفادا,Nevada,Nevada,Nevada,Nevada,Nevada,נבדה
US_New Hampshire,New Hampshire,Нью-Гэмпшир,New Hampshire,New Hampshire,New Hampshire,뉴햄프셔 주,New Hampshire,New Hampshire,Нью-Гемпшир,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,新罕布什爾州,新罕布什尔州,รัฐนิวแฮมป์เชียร์,ニューハンプシャー州,New Hampshire,نيوهامشير,New Hampshire,Nuevo Hampshire,New Hampshire,New Hampshire,Nova Hampshire,ניו המפשייר
US_New Jersey_North,New Jersey — North,Нью-Джерси — Север,New Jersey — Nord,New Jersey — Nord,New Jersey — Utara,뉴저지 주 — 북,New Jersey — Nord,New Jersey — Kuzey,Нью-Джерсі — Північ,New Jersey — Bắc,New Jersey — Észak,New Jersey — Norden,New Jersey — Pohjoinen,New Jersey — Sever,New Jersey — Nord,New Jersey — Nord,新澤西部州 - 北部,新泽西部州 - 北部,รัฐนิวเจอร์ซีย์ — เหนือ,ニュージャージー州・北部,New Jersey — Nord,نيو جيرسي — شمال,New Jersey — Sever,Nueva Jersey — Norte,New Jersey — Północ,New Jersey — Noord,Nova Jérsei — Norte,ניו ג'רזי — צָפוֹן
US_New Jersey_South,New Jersey — South,Нью-Джерси — Юг,New Jersey — Sud,New Jersey — Syd,New Jersey — Selatan,뉴저지 주 — 남,New Jersey — Syd,New Jersey — Güney,Нью-Джерсі — Південь,New Jersey — Nam,New Jersey — Dél,New Jersey — Süden,New Jersey — Etelä,New Jersey — Jih,New Jersey — Sud,New Jersey — Sør,新澤西部州 - 南部,新泽西部州 - 南部,รัฐนิวเจอร์ซีย์ — ใต้,ニュージャージー州・南部,New Jersey — Sud,نيو جيرسي — جنوب,New Jersey — Juh,Nueva Jersey — Sur,New Jersey — Południe,New Jersey — Zuid,Nova Jérsei — Sul,ניו ג'רזי — דָרוֹם
US_New Mexico,New Mexico,Нью-Мексико,Nouveau-Mexique,New Mexico,New Mexico,뉴멕시코 주,New Mexico,New Mexico,Нью-Мексико,New Mexico,Új-Mexikó,New Mexico,New Mexico,Nové Mexiko,Nuovo Messico,New Mexico,新墨西哥州,新墨西哥州,รัฐนิวเม็กซิโก,ニューメキシコ州,New Mexico,نيومكسيكو,Nové Mexiko,Nuevo México,Nowy Meksyk,New Mexico,Novo México,ניו מקסיקו
US_New York_East,New York — East,Нью-Йорк — Восток,État de New York — Est,New York — Øst,New York — Timur,뉴욕 주 — 동,New York — Öst,New York — Doğu,Нью-Йорк — Схід,Tiểu bang New York — Đông,New York — Kelet,New York — Osten,New York — Itä,New York — Východ,New York — Est,New York — Øst,紐約 - 東部,纽约 - 东部,รัฐนิวยอร์ก — ตะวันออก,ニューヨーク州・東武,New York — Est,نيويورك — شرق,New York — Východ,Nueva York — Este,Nowy Jork — Wschód,New York — Oost,Nova Iorque — Leste,ניו יורק — מִזְרָח
US_New York_New York,New York — New York City,Нью-Йорк — Нью-Йорк,État de New York — New York,New York — New York,New York — New York City,뉴욕 주 — 뉴욕,New York — New York,New York — New York,Нью-Йорк — Нью-Йорк,Tiểu bang New York — Thành phố New York,New York — New York,New York — New York City,New York — New York,New York — New York,New York — New York,New York — New York,紐約州 — 紐約,纽约州 — 纽约,รัฐนิวยอร์ก — นครนิวยอร์ก,ニューヨーク州・ニューヨーク,New York — New York,نيويورك — مدينة نيو يورك,New York — New York,Nueva York — Nueva York,Nowy Jork — Nowy Jork,New York — New York City,Nova Iorque — Nova Iorque,ניו יורק — ניו יורק
US_New York_North,New York — North,Нью-Йорк — Север,État de New York — Nord,New York — Nord,New York — Utara,뉴욕 주 — 북,New York — Nord,New York — Kuzey,Нью-Йорк — Північ,Tiểu bang New York — Bắc,New York — Észak,New York — Norden,New York — Pohjoinen,New York — Sever,New York — Nord,New York — Nord,紐約 - 北部,纽约 - 北部,รัฐนิวยอร์ก — เหนือ,ニューヨーク州・北部,New York — Nord,نيويورك — شمال,New York — Sever,Nueva York — Norte,Nowy Jork — Północ,New York — Noord,Nova Iorque — Norte,ניו יורק — צָפוֹן
US_New York_West,New York — West,Нью-Йорк — Запад,État de New York — Ouest,New York — Vest,New York — Barat,뉴욕 주 — 서,New York — Väst,New York — Batı,Нью-Йорк — Захід,Tiểu bang New York — Tây,New York — Nyugat,New York — Westen,New York — Länsi,New York — Západ,New York — Ovest,New York — Vest,紐約 - 西部,纽约 - 西部,รัฐนิวยอร์ก — ตะวันตก,ニューヨーク州・西部,New York — Vest,نيويورك — غرب,New York — Západ,Nueva York — Oeste,Nowy Jork — Zachód,New York — West,Nova Iorque — Oeste,ניו יורק — מַעֲרָב
US_North Carolina_Asheville,Asheville,Эшвилл,Asheville,Asheville,Asheville,애슈빌,Asheville,Asheville,Ешвіль (Північна Кароліна),"Asheville, Hoa Kỳ",Asheville,Asheville,Asheville,Asheville,Asheville,Asheville,阿什維爾,阿什维尔,แอชวิลล์,アシュビル,Asheville,آشفيل، كارولاينا الشمالية,Asheville,Asheville,Asheville,Asheville,Asheville,אשוויל
US_North Carolina_Charlotte,Charlotte,Шарлотт,Charlotte,Charlotte,"Charlotte, Carolina Utara",샬럿,"Charlotte, North Carolina","Charlotte, Kuzey Karolina",Шарлотт,"Charlotte, Bắc Carolina",Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,夏洛特,夏洛特,ชาร์ลอตต์,シャーロット,"Charlotte, Carolina de Nord",تشارلوت، كارولاينا الشمالية,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,שארלוט
US_North Carolina_Greensboro,Greensboro,Гринсборо,Greensboro,Greensboro,"Greensboro, North Carolina",그린즈버러,"Greensboro, North Carolina",Greensboro,Ґрінсборо,"Greensboro, Bắc Carolina",Greensboro,Greensboro,Greensboro,Greensboro,Greensboro,Greensboro,格林斯伯勒,格林斯伯勒,กรีนส์โบโร,グリーンズボロ,"Greensboro, Carolina de Nord",غرينزبورو، كارولاينا الشمالية,Greensboro,Greensboro,Greensboro,Greensboro,Greensboro,גרינסבורו
US_North Carolina_Raleigh,Raleigh,Роли,Raleigh,Raleigh,"Raleigh, Carolina Utara",롤리,"Raleigh, North Carolina","Raleigh, Kuzey Karolina",Ралі,"Raleigh, Bắc Carolina",Raleigh,Raleigh,Raleigh,Raleigh,Raleigh,Raleigh,羅利,罗利,ราลี,ローリー,"Raleigh, Carolina de Nord",رالي، كارولاينا الشمالية,Raleigh,Raleigh,Raleigh,Raleigh,Raleigh,ראלי
US_North Carolina_Wilmington,Wilmington,Уилмингтон,Wilmington,Wilmington,"Wilmington, Carolina Utara",윌밍턴,"Wilmington, North Carolina","Wilmington, Kuzey Karolina",Вілмінгтон (Північна Кароліна),"Wilmington, Bắc Carolina",Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,威爾明頓,威尔明顿,วิลมิงตัน,ウィルミントン,Wilmington,ويلمينغتون، كارولاينا الشمالية,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,וילמינגטון
US_North Carolina_Wilson,Wilson,Уилсон,Wilson,Wilson,Wilson,윌슨,"Wilson, North Carolina",Wilson,Вілсон (Північна Кароліна),"Wilson, Bắc Carolina",Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,威爾遜,威尔逊,วิลสัน,ウィルソン,"Wilson, North Carolina",ويلسون، كارولاينا الشمالية,Wilson,Wilson,Wilson,Wilson,Wilson,
US_North Dakota_Bismarck,Bismarck,Бисмарк,Bismarck,Bismarck,"Bismarck, Dakota Utara",비즈마크,"Bismarck, North Dakota",Bismarck,Бісмарк,"Bismarck, Bắc Dakota",Bismarck,Bismarck,Bismarck,Bismarck,Bismarck,Bismarck,俾斯麥,俾斯麦,บิสมาร์ก,ビスマーク,"Bismarck, Dakota de Nord",بسمارك، داكوتا الشمالية,Bismarck,Bismarck,Bismarck,Bismarck,Bismarck,ביסמרק
US_North Dakota_East,Fargo,Фарго,Fargo,Fargo,"Fargo, Dakota Utara",파고,"Fargo, North Dakota","Fargo, Kuzey Dakota",Фарґо,"Fargo, Bắc Dakota",Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,法戈,法戈,ฟาร์โก,ファーゴ,"Fargo, Dakota de Nord",فارغو، داكوتا الشمالية,Fargo,Fargo,Fargo,Fargo,Fargo,פארגו
US_North Dakota_Minot,Minot,Майнот,Minot,Minot,Minot,마이놋,Minot,Minot,Майнот,"Minot, Hoa Kỳ",Minot,Minot,Minot,Minot,Minot,Minot,邁諾特,迈诺特,ไมนอต,マイノット,"Minot, Dakota de Nord",مينوت، داكوتا الشمالية,Minot,Minot,Minot,Minot,Minot,
US_Ohio_Cleveland,Cleveland,Кливленд,Cleveland,Cleveland,Cleveland,클리블랜드,Cleveland,Cleveland,Клівленд,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,克里夫蘭,克里夫兰,คลีฟแลนด์,クリーブランド,Cleveland,كليفلاند، أوهايو,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,קליבלנד
US_Ohio_Dayton,Dayton,Дейтон,Dayton,Dayton,Dayton,데이턴,Dayton,Dayton,Дейтон,Dayton,Dayton,Dayton,Dayton,Dayton,Dayton,Dayton,代頓,代顿,เดย์ทัน,デイトン,Dayton,دايتون، أوهايو,Dayton,Dayton,Dayton,Dayton,Dayton,דייטון
US_Oklahoma_East,Oklahoma — East,Оклахома — Восток,Oklahoma — Est,Oklahoma — Øst,Oklahoma — Timur,오클라호마 주 — 동,Oklahoma — Öst,Oklahoma — Doğu,Оклахома — Схід,Oklahoma — Đông,Oklahoma — Kelet,Oklahoma — Osten,Oklahoma — Itä,Oklahoma — Východ,Oklahoma — Est,Oklahoma — Øst,俄克拉何馬州 - 東部,俄克拉何马州 - 东部,รัฐโอคลาโฮมา — ตะวันออก,オクラホマ州・東武,Oklahoma — Est,أوكلاهوما — شرق,Oklahoma — Východ,Oklahoma — Este,Oklahoma — Wschód,Oklahoma — Oost,Oklahoma — Leste,אוקלהומה — מִזְרָח
US_Oklahoma_West,Oklahoma — West,Оклахома — Запад,Oklahoma — Ouest,Oklahoma — Vest,Oklahoma — Barat,오클라호마 주 — 서,Oklahoma — Väst,Oklahoma — Batı,Оклахома — Захід,Oklahoma — Tây,Oklahoma — Nyugat,Oklahoma — Westen,Oklahoma — Länsi,Oklahoma — Západ,Oklahoma — Ovest,Oklahoma — Vest,俄克拉何馬州 - 西部,俄克拉何马州 - 西部,รัฐโอคลาโฮมา — ตะวันตก,オクラホマ州・西部,Oklahoma — Vest,أوكلاهوما — غرب,Oklahoma — Západ,Oklahoma — Oeste,Oklahoma — Zachód,Oklahoma — West,Oklahoma — Oeste,אוקלהומה — מַעֲרָב
US_Oregon_Eugene,Eugene,Юджин,Eugene,Eugene,Eugene,유진,Eugene,"Eugene, Oregon",Юджін,Eugene,Eugene,Eugene,Eugene,Eugene,Eugene,Eugene,尤金,尤金,ยูจีน,ユージーン,Eugene,يوجين، أوريغون,Eugene,Eugene,Eugene,Eugene,Eugene,יוג'ין
US_Oregon_Portland,Portland,Портленд,Portland,Portland,"Portland, Oregon",포틀랜드,Portland,"Portland, Oregon",Портленд,"Portland, Oregon",Portland,Portland,Portland,Portland,Portland,Portland,波特蘭,波特兰,พอร์ตแลนด์,ポートランド,"Portland, Oregon",بورتلاند، أوريغون,Portland,Portland,Portland,Portland,Portland,פורטלנד
US_Oregon_West,Oregon — West,Орегон — Запад,Oregon — Ouest,Oregon — Vest,Oregon — Barat,오리건 주 — 서,Oregon — Väst,Oregon — Batı,Орегон — Захід,Oregon — Tây,Oregon — Nyugat,Oregon — Westen,Oregon — Länsi,Oregon — Západ,Oregon — Ovest,Oregon — Vest,俄勒岡州 - 西部,俄勒冈州 - 西部,รัฐออริกอน — ตะวันตก,オレゴン州・西部,Oregon — Vest,أوريغون — غرب,Oregon — Západ,Oregón — Oeste,Oregon — Zachód,Oregon — West,Oregon — Oeste,אורגון — מַעֲרָב
US_Pennsylvania_Central,Altoona,Алтуна,Altoona,Altoona,Altoona,알투나,"Altoona, Pennsylvania",Altoona,Алтуна,"Altoona, Pennsylvania",Altoona,Altoona,Altoona,Altoona,Altoona,Altoona,阿爾圖納 (賓夕法尼亞州),阿尔图纳 (宾夕法尼亚州),อัลทูนา,アルトゥーナ (ペンシルベニア州),Altoona,ألتونا,Altoona,Altoona (Pensilvania),Altoona (Pensylwania),Altoona,Altoona (Pensilvânia),
US_Pennsylvania_Pittsburgh,Pittsburgh,Питтсбург,Pittsburgh,Pittsburgh,Pittsburgh,피츠버그,Pittsburgh,Pittsburgh,Піттсбург,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,匹茲堡,匹兹堡,พิตต์สเบิร์ก,ピッツバーグ,"Pittsburgh, Pennsylvania",بيتسبرغ، بنسيلفانيا,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,פיטסבורג
US_Pennsylvania_Reading,Reading,Рединг,Reading,Reading,Reading,레딩,Reading,Reading,Редінг,Reading,Reading,Reading,Reading,Reading,Reading,Reading,雷丁,雷丁,เรดดิง,レディング,Reading,ريدينغ,Reading,Reading,Reading,Reading,Reading,
US_Pennsylvania_Scranton,Scranton,Скрентон,Scranton,Scranton,Scranton,스크랜턴,Scranton,Scranton,Скрентон,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,斯克蘭頓,斯克兰顿,สกรันตัน,スクラントン,Scranton,سكرانتون,Scranton,Scranton,Scranton,Scranton,Scranton,סקרנטון
US_Puerto Rico,Puerto Rico,Пуэрто-Рико,Porto Rico,Puerto Rico,Puerto Riko,푸에르토리코,Puerto Rico,Porto Riko,Пуерто-Рико,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Portoriko,Porto Rico,Puerto Rico,波多黎各,波多黎各,เปอร์โตริโก,プエルトリコ,Puerto Rico,بورتوريكو,Portoriko,Puerto Rico,Portoryko,Puerto Rico,Porto Rico,פוארטו ריקו
US_Rhode Island,Rhode Island,Род-Айленд,Rhode Island,Rhode Island,Rhode Island,로드아일랜드 주,Rhode Island,Rhode Island,Род-Айленд,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,羅德島州,罗德岛州,รัฐโรดไอแลนด์,ロードアイランド州,Rhode Island,رود آيلاند,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,רוד איילנד
US_South Carolina_Columbia,Columbia,Колумбия,Columbia,Columbia,"Columbia, Carolina Selatan",컬럼비아,"Columbia, South Carolina","Columbia, Güney Karolina",Колумбія,"Columbia, Nam Carolina",Columbia,Columbia,Columbia,Columbia,Columbia,Columbia,哥倫比亞,哥伦比亚,โคลัมเบีย,コロンビア,"Columbia, Carolina de Sud",كولومبيا، كارولاينا الجنوبية,Columbia,Columbia,Columbia,Columbia,Colúmbia,קולומביה
US_South Carolina_Florence,Florence,Флоренция,Florence,Florence,Florence,플로렌스,"Florence, South Carolina",Florence,Флоренс,"Florence, Hoa Kỳ",Florence,Florence,Florence,Florencie,Florence,Florence,佛羅倫薩,佛罗伦萨,ฟลอเรนซ์,フローレンス,Florence,فلورنس,Florence,Florence,Florence,Florence,Florence,
US_South Dakota,South Dakota,Южная Дакота,Dakota du Sud,South Dakota,Dakota Selatan,사우스다코타 주,South Dakota,Güney Dakota,Південна Дакота,Nam Dakota,Dél-Dakota,South Dakota,Etelä-Dakota,Jižní Dakota,Dakota del Sud,Sør-Dakota,南達科他州,南达科他州,รัฐเซาท์ดาโคตา,サウスダコタ州,Dakota de Sud,داكوتا الجنوبية,Južná Dakota,Dakota del Sur,Dakota Południowa,South Dakota,Dakota do Sul,דקוטה הדרומית
US_Tennessee_East,Tennessee — East,Теннесси — Восток,Tennessee — Est,Tennessee — Øst,Tennessee — Timur,테네시 주 — 동,Tennessee — Öst,Tennessee — Doğu,Теннессі — Схід,Tennessee — Đông,Tennessee — Kelet,Tennessee — Osten,Tennessee — Itä,Tennessee — Východ,Tennessee — Est,Tennessee — Øst,田納西部州 - 東部,田纳西部州 - 东部,รัฐเทนเนสซี — ตะวันออก,テネシー州・東武,Tennessee — Est,تينيسي — شرق,Tennessee — Východ,Tennessee — Este,Tennessee — Wschód,Tennessee — Oost,Tennessee — Leste,טנסי — מִזְרָח
US_Tennessee_West,Tennessee — West,Теннесси — Запад,Tennessee — Ouest,Tennessee — Vest,Tennessee — Barat,테네시 주 — 서,Tennessee — Väst,Tennessee — Batı,Теннессі — Захід,Tennessee — Tây,Tennessee — Nyugat,Tennessee — Westen,Tennessee — Länsi,Tennessee — Západ,Tennessee — Ovest,Tennessee — Vest,田納西部州 - 西部,田纳西部州 - 西部,รัฐเทนเนสซี — ตะวันตก,テネシー州・西部,Tennessee — Vest,تينيسي — غرب,Tennessee — Západ,Tennessee — Oeste,Tennessee — Zachód,Tennessee — West,Tennessee — Oeste,טנסי — מַעֲרָב
US_Texas_Austin,Austin,Остин,Austin,Austin,Austin,오스틴,Austin,Austin,Остін,Austin,Austin,Austin,Austin,Austin,Austin,Austin,奧斯汀,奥斯汀,ออสติน,オースティン,Austin,أوستن، تكساس,Austin,Austin,Austin,Austin,Austin,אוסטין
US_Texas_Dallas,Dallas,Даллас,Dallas,Dallas,Dallas,댈러스,Dallas,Dallas,Даллас,"Dallas, Texas",Dallas,Dallas,Dallas,Dallas,Dallas,Dallas,達拉斯,达拉斯,แดลลัส,ダラス,Dallas,دالاس، تكساس,Dallas,Dallas,Dallas,Dallas,Dallas,דאלאס
US_Texas_Houston,Houston,Хьюстон,Houston,Houston,"Houston, Texas",휴스턴,Houston,Houston,Х'юстон,"Houston, Texas",Houston,Houston,Houston,Houston,Houston,Houston,休斯敦,休斯敦,ฮิวสตัน,ヒューストン,Houston,هيوستن، تكساس,Houston,Houston,Houston,Houston,Houston,יוסטון
US_Texas_Northwest,Amarillo,Амарилло,Amarillo,Amarillo,Amarillo,애머릴로,Amarillo,Amarillo,Амарилло,"Amarillo, Texas",Amarillo,Amarillo,Amarillo,Amarillo,Amarillo,Amarillo,阿馬里洛,阿马里洛,อะมาริลโล,アマリロ,"Amarillo, Texas",أماريلو، تكساس,Amarillo,Amarillo,Amarillo,Amarillo,Amarillo,אמרילו
US_Texas_San Antonio,San Antonio,Сан-Антонио,San Antonio,San Antonio,"San Antonio, Texas",샌안토니오,San Antonio,San Antonio,Сан-Антоніо,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,聖安東尼奧,圣安东尼奥,แซนแอนโทนีโอ,サンアントニオ,San Antonio,سان أنطونيو، تكساس,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,סן אנטוניו
US_Texas_Southwest,Laredo,Ларедо,Laredo,Laredo,"Laredo, Texas",러레이도,"Laredo, Texas","Laredo, Teksas",Ларедо,"Laredo, Texas",Laredo,Laredo,Laredo,Laredo,Laredo,Laredo,拉雷多,拉雷多,ลาเรโด,ラレド,"Laredo, Texas",لاريدو,Laredo,Laredo,Laredo,Laredo,Laredo,לארדו
US_Texas_Tyler,Tyler,Тайлер,Tyler,Tyler,Tyler,타일러,Tyler,Tyler,Тайлер (Техас),Tyler,Tyler,Tyler,Tyler,Tyler,Tyler,Tyler,泰勒,泰勒,ไทเลอร์,タイラー,Tyler,تايلر، تكساس,Tyler,Tyler,Tyler,Tyler,Tyler,
US_Texas_Wako,Waco,Уэйко,Waco,Waco,Waco,웨이코,"Waco, Texas",Waco,Вейко,"Waco, Texas",Waco,Waco,Waco,Waco,Waco,Waco,韋科,韦科,วาโค,ウェーコ,"Waco, Texas",واكو، تكساس,Waco,Waco,Waco,Waco,Waco,וייקו
US_Texas_West,Odessa,Одесса,Odessa,Odessa,Odessa,오데사,"Odessa, Texas","Odessa, Teksas","Одеса (Техас, США)","Odessa, Texas",Odessa,Odessa,Odessa,Odessa,Odessa,Odessa,敖德薩,敖德萨,โอเดซซา,オデッサ,Odessa,أوديسا، تكساس,Odessa,Odessa,Odessa,Odessa,Odessa,
US_United States Minor Outlying Islands,US Minor Outlying Islands,Внешние малые острова США,Îles mineures éloignées des États-Unis,USA's ydre småøer,Kepulauan Terluar Kecil Amerika Serikat,미국령 군소 제도,Förenta staternas mindre öar i Oceanien och Västindien,United States Minor Outlying Islands,Зовнішні малі острови США,Các tiểu đảo xa của Hoa Kỳ,Az Amerikai Egyesült Államok lakatlan külbirtokai,United States Minor Outlying Islands,Yhdysvaltain pienet erillissaaret,Menší odlehlé ostrovy Spojených států amerických,Isole minori esterne degli Stati Uniti d'America,USAs ytre småøyer,美國本土外小島嶼,美国本土外小岛屿,เกาะเล็กรอบนอกของสหรัฐอเมริกา,合衆国領有小離島,Insulele Minore Îndepărtate ale Statelor Unite,جزر الولايات المتحدة الصغيرة النائية,Menšie odľahlé ostrovy USA,Islas ultramarinas de Estados Unidos,Dalekie Wyspy Mniejsze Stanów Zjednoczonych,Kleine afgelegen eilanden van de Verenigde Staten,Ilhas Menores Distantes dos Estados Unidos,
US_Utah,Utah,Юта,Utah,Utah,Utah,유타 주,Utah,Utah,Юта,Utah,Utah,Utah,Utah,Utah,Utah,Utah,猶他州,犹他州,รัฐยูทาห์,ユタ州,Utah,يوتا,Utah,Utah,Utah,Utah,Utah,יוטה
US_Vermont,Vermont,Вермонт,Vermont,Vermont,Vermont,버몬트 주,Vermont,Vermont,Вермонт,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,佛蒙特州,佛蒙特州,รัฐเวอร์มอนต์,バーモント州,Vermont,فيرمونت,Vermont,Vermont,Vermont,Vermont,Vermont,ורמונט
US_Virginia_Chesapeake,Chesapeake,Чесапик,Chesapeake,Chesapeake,"Chesapeake, Virginia",체서피크,"Chesapeake, Virginia",Chesapeake,Чесапік,"Chesapeake, Virginia",Chesapeake,Chesapeake,Chesapeake,Chesapeake,Chesapeake,Chesapeake,切薩皮克,切萨皮克,เชซาพีค,チェサピーク,"Chesapeake, Virginia",تشيسابيك,Chesapeake,Chesapeake,Chesapeake,Chesapeake,Chesapeake,צ'ספיק
US_Virginia_Lynchburg,Lynchburg,Линчберг (Виргиния),Lynchburg,Lynchburg,Lynchburg,린치버그,Lynchburg,Lynchburg,Лінчберг,Lynchburg,Lynchburg,Lynchburg,Lynchburg,Lynchburg,Lynchburg,Lynchburg,林奇堡,林奇堡,ลินช์เบิร์ก,リンチバーグ,Lynchburg,لينشبرغ,Lynchburg,Lynchburg,Lynchburg,Lynchburg,Lynchburg,
US_Virginia_Richmond,Richmond,Ричмонд,Richmond,Richmond,Richmond,리치먼드,Richmond,Richmond,Ричмонд,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,里士滿,里士满,ริชมอนด์,リッチモンド,Richmond,ريتشموند,Richmond,Richmond,Richmond,Richmond,Richmond,ריצ'מונד
US_Virginia_Roanoke,Roanoke,Роанок,Roanoke,Roanoke,Roanoke,로어노크,Roanoke,Roanoke,Роаноук,Roanoke,Roanoke,Roanoke,Roanoke,Roanoke,Roanoke,Roanoke,羅阿諾克,罗阿诺克,โรอันโนค,ロアノーク,Roanoke,روانوك,Roanoke,Roanoke,Roanoke,Roanoke,Roanoke,רואנוק
US_Washington_Coast,Tacoma,Такома,Tacoma,Tacoma,Tacoma,터코마,Tacoma,Tacoma,Такома,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,塔科馬,塔科马,ทาโคมา,タコマ,Tacoma,تاكوما، واشنطن,Tacoma,Tacoma,Tacoma,Tacoma,Tacoma,טקומה
US_Washington_Seattle,Seattle,Сиэтл,Seattle,Seattle,Seattle,시애틀,Seattle,Seattle,Сієтл,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,西雅圖,西雅图,ซีแอตเทิล,シアトル,Seattle,سياتيل، واشنطن,Seattle,Seattle,Seattle,Seattle,Seattle,סיאטל
US_Washington_Yakima,Yakima,Якима,Yakima,Yakima,Yakima,야키마,Yakima,Yakima,Якіма,Yakima,Yakima,Yakima,Yakima,Yakima,Yakima,Yakima,雅基馬,雅基马,ยาคิมา,ヤキマ,Yakima,ياكيما، واشنطن,Yakima,Yakima,Yakima,Yakima,Yakima,יאקימה
US_West Virginia,West Virginia,Западная Виргиния,Virginie-Occidentale,West Virginia,Virginia Barat,웨스트버지니아 주,West Virginia,Batı Virginia,Західна Вірджинія,Tây Virginia,Nyugat-Virginia,West Virginia,Länsi-Virginia,Západní Virginie,Virginia Occidentale,Vest-Virginia,西維吉尼亞州,西维吉尼亚州,รัฐเวสต์เวอร์จิเนีย,ウェストバージニア州,Virginia de Vest,فيرجينيا الغربية,Západná Virgínia,Virginia Occidental,Wirginia Zachodnia,West Virginia,Virgínia Ocidental,וירג'יניה המערבית
US_Wisconsin_Milwaukee,Milwaukee,Милуоки,Milwaukee,Milwaukee,Milwaukee,밀워키,Milwaukee,Milwaukee,Мілуокі,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,密爾沃基,密尔沃基,มิลวอกี,ミルウォーキー,Milwaukee,ميلواكي، ويسكنسن,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,מילווקי
